,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
1312,A0165233,INS-000734701,04/24/2024,2024,BA-1687406-2024,BA-1687406,"GB GREEN GASTRONOME, LLC",,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,22013,JAMAICA AVE,,,,QUEENS VILLAGE,NY,11428,Queens,413.0,23.0,4229855.0,4107250091.0,QN34,40.719092,-73.73409908
1323,A0186269,INS-000777390,09/04/2024,2024,BA-1707311-2024,BA-1707311,FINE COCOA PRODUCTS CORP.,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,67,35TH ST,,,,BROOKLYN,NY,11232,Brooklyn,307.0,38.0,3336900.0,3006870001.0,BK32,40.65669457,-74.00681537
1369,A0191528,INS-000788762,10/02/2024,2024,BA-1710508-2024,BA-1710508,DI PAOLA TURKEYS INC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
1373,A0192254,INS-000790502,10/04/2024,2024,BA-1710837-2024,BA-1710837,DEEP MOUNTAIN MAPLE LLC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
1397,A0216338,INS-000837260,03/14/2025,2025,BA-1192106-2022,BA-1192106,"CHEF'S CHOICE CASH & CARRY FOOD DISTRIBUTOR, INC.",,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,3,3,0,,Complete Address,1051,UTICA AVE,,,,BROOKLYN,NY,11203,Brooklyn,317.0,45.0,3104354.0,3047350052.0,BK96,40.6472341,-73.92988835
1398,A0216386,INS-000837301,03/14/2025,2025,BA-1192106-2022,BA-1192106,"CHEF'S CHOICE CASH & CARRY FOOD DISTRIBUTOR, INC.",,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,1051,UTICA AVE,,,,BROOKLYN,NY,11203,Brooklyn,317.0,45.0,3104354.0,3047350052.0,BK96,40.6472341,-73.92988835
1448,A0216338,INS-000837260,03/14/2025,2025,BA-1192106-2022,BA-1192106,"CHEF'S CHOICE CASH & CARRY FOOD DISTRIBUTOR, INC.",,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,1051,UTICA AVE,,,,BROOKLYN,NY,11203,Brooklyn,317.0,45.0,3104354.0,3047350052.0,BK96,40.6472341,-73.92988835
1467,A0192123,INS-000789737,10/04/2024,2024,BA-1710703-2024,BA-1710703,CENTRAL VALLEY FARM,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
1522,A0191749,INS-000789477,10/02/2024,2024,BA-1710646-2024,BA-1710646,"CARADONNA FARMS OF THE HUDSON VALLEY, INC.",,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
1569,A0192152,INS-000790303,10/04/2024,2024,BA-1710808-2024,BA-1710808,CAMPO ROSSO FARM,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Cross Street (Intersection),,EAST 16 STREET,UNION SQUARE WEST,,,NEW YORK,NY,10003,Manhattan,105.0,2.0,,,,40.73653145,-73.9907516
1573,A0191776,INS-000789528,10/02/2024,2024,BA-1710652-2024,BA-1710652,BREEZY HILL ORCHARD LLC,Breezy Hill Orchard and Cider Mill,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
1587,A0191654,INS-000789298,10/02/2024,2024,BA-1710617-2024,BA-1710617,BERRIED TREASURES FARMS LLC,Amoon Farms,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Cross Street (Intersection),,EAST 17 STREET,UNION SQUARE WEST,,,MANHATTAN,NY,10003,Manhattan,105.0,2.0,,,,40.73713252,-73.99032932
1593,A0192316,INS-000790613,10/04/2024,2024,BA-1710854-2024,BA-1710854,BACK HOME FARM LLC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Cross Street (Intersection),,EAST 16 STREET,UNION SQUARE WEST,,,NEW YORK,NY,10003,Manhattan,105.0,2.0,,,,40.73653145,-73.9907516
1607,A0162549,INS-000726923,04/09/2024,2024,BA-1689405-2024,BA-1689405,Aztec Imperio Inc.,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,971,INTERVALE AVE,,,,BRONX,NY,10459,Bronx,202.0,17.0,2005389.0,2026990058.0,BX33,40.82237672,-73.89688616
1636,A0201511,INS-000808961,12/01/2024,2024,BA-1710807-2024,BA-1710807,AMERICAN PRIDE SEAFOOD INC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Cross Street (Intersection),SEC,COLUMBUS AVENUE,WEST 77 STREET,,,MANHATTAN,NY,10024,Manhattan,107.0,6.0,,,,40.78065117,-73.97641773
1663,A0192139,INS-000790275,10/04/2024,2024,BA-1710807-2024,BA-1710807,AMERICAN PRIDE SEAFOOD INC,,Wholesale Food Market - 718,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Cross Street (Intersection),,EAST 16 STREET,UNION SQUARE WEST,,,NEW YORK,NY,10003,Manhattan,105.0,2.0,,,,40.73653145,-73.9907516
