,Record ID,Related Record Type,Business Unique ID,Business Name,DBA/Trade Name,Business Category,Certificate of Inspection,Inspection Number,NOH Number,Violation Date,Charge,Charge Count,Cure Eligible,Cured,Outcome,Guilty,Not Guilty,Dismissed
91,37788-2025-ADJC,dcwp_InspectionRequest,BA-1327465-2022,H F DOLLAR & UP FRUIT AND VEGETABLE CORP,,Supermarket,A0212401,INS-000830646,25Q00393,02/19/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,No,Pleaded,1.0,,
99,37964-2025-ADJC,dcwp_InspectionRequest,BA-1112199-2022,116-15 GMV CORP.,,Supermarket,A0212301,INS-000830462,25Q00384,02/18/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
104,37762-2025-ADJC,dcwp_InspectionRequest,BA-1699253-2024,Seneca Foods Sellers Inc.,Super Fresh Supermarket,Supermarket,A0211878,INS-000829751,25Q00356,02/13/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
105,37578-2025-ADJC,dcwp_InspectionRequest,BA-1447424-2022,R & M GLATT SUPERMARKET OF 108 ST. CORP,,Supermarket,A0211521,INS-000829184,25Q00336,02/12/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
118,37356-2025-ADJC,dcwp_InspectionRequest,BA-1294617-2022,GREEN ACRES FARMS INC.,,Supermarket,A0210911,INS-000826709,25N00279,02/06/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
121,37388-2025-ADJC,dcwp_InspectionRequest,BA-1563888-2022,VSM NY Holdings LLC,,Supermarket,A0210896,INS-000827919,25M00490,02/06/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
128,37276-2025-ADJC,dcwp_InspectionRequest,BA-1073793-2022,AO XIN ZHOU SUPERMARKET INC,The Milk Farm,Supermarket,A0210399,INS-000827073,25Q00279,02/04/2025,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,No,,Pleaded,2.0,,
133,37456-2025-ADJC,dcwp_InspectionRequest,BA-1538483-2022,TASHKENT SUPERMARKET LLC,,Supermarket,A0209651,INS-000825767,25N00226,01/30/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,,Pleaded,1.0,,
139,36890-2025-ADJC,dcwp_InspectionRequest,BA-1560183-2022,RL FOOD CORP,KEY FOOD,Supermarket,A0208819,INS-000822105,25Q00193,01/24/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
147,36894-2025-ADJC,dcwp_InspectionRequest,BA-1110417-2022,123 FRESH MARKET INC,,Supermarket,A0208529,INS-000822289,25Q00189,01/23/2025,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
159,36746-2025-ADJC,dcwp_InspectionRequest,BA-1700377-2024,KING FOOD MARKET INC.,STAR MARKET,Supermarket,A0208091,INS-000821372,25N00154,01/17/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
160,36714-2025-ADJC,dcwp_InspectionRequest,BA-992605-2022,"700 FOOTHILL FOOD CO., LLC",,Supermarket,A0207891,INS-000820899,25Q00143,01/16/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Pleaded,1.0,,
164,36539-2025-ADJC,dcwp_InspectionRequest,BA-1639547-2023,E&W FOOD CORP.,CENTRAL MARKET,Supermarket,A0207650,INS-000820485,25N00123,01/15/2025,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",2.0,,,Pleaded,2.0,,
170,36405-2025-ADJC,dcwp_InspectionRequest,BA-1417283-2022,MANGO NOSTRAND FARM MARKET CORP.,,Supermarket,A0207350,INS-000819955,25N00100,01/14/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
171,36157-2025-ADJC,dcwp_InspectionRequest,BA-1109175-2022,89-02 FOOD CORP.,TRADE FAIR,Supermarket,A0206974,INS-000819245,25Q00073,01/10/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
173,13726-2023-ADJC,dcwp_InspectionRequest,BA-1122304-2022,4138 Broadway Food LLC,FOOD EMPORIUM,Supermarket,A0142360,INS-000687840,23M04188,11/09/2023,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
182,36144-2025-ADJC,dcwp_InspectionRequest,BA-1312156-2022,K & J ROCHDALE FOOD CORP,,Supermarket,A0206776,INS-000818864,25Q00054,01/09/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
186,13894-2023-ADJC,dcwp_InspectionRequest,BA-1334822-2022,J & F MEAT MARKET CORP.,,Supermarket,A0141759,INS-000686790,23M04127,11/02/2023,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Default Decision,1.0,,
187,36145-2025-ADJC,dcwp_InspectionRequest,BA-1339928-2022,J MART GROUP INC.,,Supermarket,A0206765,INS-000818844,25Q00053,01/09/2025,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,,,Pleaded,1.0,,
190,13966-2023-ADJC,dcwp_InspectionRequest,BA-1284348-2022,KING MEAT CORP.,,Supermarket,A0141808,INS-000686883,23M04135,11/02/2023,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,,,Default Decision,1.0,,
192,36154-2025-ADJC,dcwp_InspectionRequest,BA-1557589-2022,ROCHDALE MEAT & PRODUCE LLC,,Supermarket,A0206684,INS-000818705,25Q00050,01/09/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
198,35995-2025-ADJC,dcwp_InspectionRequest,BA-1427617-2022,RANCHOS FOOD CORP.,BRAVO SUPERMARKET,Supermarket,A0206435,INS-000818198,25M00051,01/07/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,,,Pleaded,1.0,,
199,36130-2025-ADJC,dcwp_InspectionRequest,BA-1693253-2024,124 LIBERTY LLC,APNA BAZAR FARMERS MARKET,Supermarket,A0206505,INS-000818329,25Q00040,01/07/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,No,Pleaded,1.0,,
203,14100-2023-ADJC,dcwp_InspectionRequest,BA-1676740-2023,Westside Supermarket LLC,,Supermarket,A0142861,INS-000686056,23M04215,11/15/2023,"1 NYCRR § 221.5(c) - LABELS DO NOT CLEARLY STATE THE NET QUANTITY OF ITEMS IN CONTAINERS or PACAKGE IN TERMS OF WEIGHT, MEASURE OR COUNT",1.0,,,Default Decision,1.0,,
204,36134-2025-ADJC,dcwp_InspectionRequest,BA-1680614-2023,WALFOOD INCORPORATED,WALFOOD SUPERMARKET,Supermarket,A0206444,INS-000818216,25Q00034,01/07/2025,NY Agri & Mkts § 190(5) - STORE DOES NOT HAVE A SCALE FOR CUSTOMERS,1.0,No,No,Pleaded,1.0,,
210,35917-2025-ADJC,dcwp_InspectionRequest,BA-1545739-2022,TREMONT FOOD CORP.,KEY FOOD #1327,Supermarket,A0206121,INS-000817532,25X00007,01/03/2025,NY Agri & Mkts § 190(5) - CUSTOMER SCALE IS NOT AN ACCURATE COMPUTING SCALE OF SUFFICIENT CAPACITY,1.0,,,Pleaded,1.0,,
213,35954-2025-ADJC,dcwp_InspectionRequest,BA-1294514-2022,KWONS CORP,,Supermarket,A0206146,INS-000817578,25Q00017,01/03/2025,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
224,35818-2024-ADJC,dcwp_InspectionRequest,BA-1191323-2022,DHY SONAMOO LLC,KEY FOOD,Supermarket,A0205670,INS-000816757,24N04336,12/31/2024,"NY Agri & Mkts § 190(5) - NO """"FOR CUSTOMER USE"""" SIGN POSTED OR NOR NEAR CUSTOMER SCALE/S IN/NEAR PREPACKAGED FOOD AREA.",1.0,No,,Pleaded,1.0,,
