,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
6635,A0204696,INS-000814847,12/20/2024,2024,BA-1642873-2023,BA-1642873,GUIDY DELI AND GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,909,E 230TH ST,,,,BRONX,NY,10466,Bronx,212.0,12.0,2064690.0,2048660046.0,BX44,40.88932356,-73.85216276
7008,A0153917,INS-000715650,02/02/2024,2024,BA-1208677-2022,BA-1208677,EXPRESS DELI GROCERY INC I,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,331,11TH ST,,,,BROOKLYN,NY,11215,Brooklyn,306.0,39.0,3337650.0,3010170001.0,BK37,40.66778842,-73.98689688
7297,A0138886,INS-000681923,10/11/2023,2023,BA-1227987-2022,BA-1227987,DELI FOR ME CORP,,Grocery-Retail - 808,Scale,Scale,,No Fee Scale,1,0,3,Confiscated,Complete Address,18744,HILLSIDE AVE,,,,JAMAICA,NY,11432,Queens,412.0,23.0,4212903.0,4099360031.0,QN61,40.71495888,-73.77418158
7300,A0162386,INS-000731913,04/05/2024,2024,BA-1690494-2024,BA-1690494,DELI COMBO INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,4,Confiscated,Complete Address,42,REID AVE,,,,STATEN ISLAND,NY,10305,Staten Island,502.0,50.0,5050128.0,5033910027.0,SI14,40.59379445,-74.08045441
7369,A0211937,INS-000829848,02/13/2025,2025,BA-1596353-2023,BA-1596353,CROSBY DELI & GROCERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,1450,CROSBY AVE,,,,BRONX,NY,10461,Bronx,210.0,13.0,2074737.0,2053970001.0,BX52,40.84140601,-73.82984723
7400,A0178415,INS-000762832,07/17/2024,2024,BA-1209860-2022,BA-1209860,CONCORD MARKET CORP.,CONCORD MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,4,Confiscated,Complete Address,91,TILLARY ST,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3325911.0,3000860011.0,BK38,40.69615296,-73.98741421
7561,A0197617,INS-000801526,11/06/2024,2024,BA-1202042-2022,BA-1202042,CARNICERA LA PALMA & MINI MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,3,Confiscated,Complete Address,8030,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409.0,32.0,4183704.0,4089190010.0,QN53,40.69225213,-73.86132995
7592,A0207621,INS-000820442,01/15/2025,2025,BA-1219880-2022,BA-1219880,"CAFE BRAVO, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,1,Confiscated,Complete Address,352,9TH AVE,,,,NEW YORK,NY,10001,Manhattan,104.0,3.0,1013511.0,1007540001.0,MN13,40.75108447,-73.99797162
7698,A0146217,INS-000695261,12/08/2023,2023,BA-1002976-2022,BA-1002976,BRAUN TUNA,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,7214,MAIN ST,,,,FLUSHING,NY,11367,Queens,408.0,24.0,4143394.0,4066210002.0,QN37,40.72626277,-73.82162662
7798,A0158731,INS-000725329,03/15/2024,2024,BA-1107968-2022,BA-1107968,BEST EMMONS BAGEL INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,2253,EMMONS AVE,,,,BROOKLYN,NY,11235,Brooklyn,315.0,48.0,3342943.0,3087830064.0,BK17,40.58369198,-73.94471937
7963,A0151842,INS-000708701,01/26/2024,2024,BA-1631875-2023,BA-1631875,ASIAN FOOD 888 INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,0,3,Confiscated,Complete Address,41-31,MAIN STREET,,UNIT,A1,FLUSHING,NY,11355,Outside NYC,407.0,20.0,4114281.0,4050430009.0,QN22,40.75731721,-73.82904052
8199,A0187256,INS-000781391,09/10/2024,2024,BA-1121078-2022,BA-1121078,AF RIVERDALE MEAT MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,4,Confiscated,Complete Address,5587,BROADWAY,,,,BRONX,NY,10463,Bronx,208.0,11.0,2083160.0,2057040045.0,BX29,40.87913842,-73.90464884
8220,A0209963,INS-000826278,01/31/2025,2025,BA-1677877-2023,BA-1677877,ACEMAK DELI & GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,363,E 180TH ST,,,,BRONX,NY,10457,Bronx,205.0,15.0,2013318.0,2031430132.0,BX41,40.85214772,-73.89897269
8432,A0211329,INS-000828757,02/11/2025,2025,BA-1001621-2022,BA-1001621,"53RD ST. FOOD, LLC.",BLAKE & TODD,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,1,Confiscated,Complete Address,52,E 53RD ST,,,,NEW YORK,NY,10022,Manhattan,105.0,4.0,1083869.0,1012880027.0,MN17,40.75944469,-73.97355194
8727,A0208287,INS-000835596,01/22/2025,2025,BA-1616765-2023,BA-1616765,1407 WESTSIDE MARKET  LLC,WESTSIDE MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,16,15,1,Confiscated,Complete Address,1407,LEXINGTON AVE,,,,NEW YORK,NY,10128,Manhattan,108.0,5.0,1048344.0,1015210020.0,MN40,40.78344899,-73.95268543
