,Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
3659,A0155588,INS-000719383,02/23/2024,2024,BA-1682507-2024,BA-1682507,AFRICAN UNITY MEAT V CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,4,3,Confiscated,Complete Address,1770,JEROME AVE,,,,BRONX,NY,10453,Bronx,205.0,14.0,2008209.0,2028500009.0,BX41,40.84828829,-73.91191844
3744,A0148800,INS-000699896,01/02/2024,2024,BA-1682124-2024,BA-1682124,7918 MEAT & PRODUCE CORP,C-TOWN SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,7918,3RD AVE,,,,BROOKLYN,NY,11209,Brooklyn,310.0,47.0,3150828.0,3059780046.0,BK31,40.62836492,-74.02906923
3761,A0207899,INS-000820915,01/16/2025,2025,BA-1106514-2022,BA-1106514,70-72 MEAT & PRODUCE CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,1,1,Confiscated,Complete Address,70,NAGLE AVE,,,,NEW YORK,NY,10040,Manhattan,112.0,10.0,1064145.0,1021720056.0,MN35,40.86019261,-73.92857931
3775,A0159416,INS-000726616,03/20/2024,2024,BA-1635802-2023,BA-1635802,597 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,6,Confiscated,Complete Address,597,E 16TH ST,,,,BROOKLYN,NY,11226,Brooklyn,314.0,45.0,3121219.0,3052370052.0,BK42,40.63555928,-73.96239941
3822,A0142360,INS-000687841,11/09/2023,2023,BA-1122304-2022,BA-1122304,4138 BROADWAY FOOD LLC,FOOD EMPORIUM,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,3,Confiscated,Complete Address,4138,BROADWAY,,,,NEW YORK,NY,10033,Manhattan,112.0,10.0,1063530.0,1021430033.0,MN36,40.84607955,-73.93847254
3841,A0213011,INS-000831614,02/25/2025,2025,BA-1722356-2025,BA-1722356,3788 Food Corp.,Extra Jumbo By Associated,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 02,1,0,1,Confiscated,Complete Address,3788,BROADWAY,,,,NEW YORK,NY,10032,Manhattan,112.0,10.0,1084194.0,1021160001.0,MN36,40.83434357,-73.94465927
3870,A0204189,INS-000813914,12/17/2024,2024,BA-1126212-2022,BA-1126212,"3155 AMBOY, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,19,18,1,Confiscated,Complete Address,3155,AMBOY RD,,,,STATEN ISLAND,NY,10306,Staten Island,503.0,50.0,5107641.0,5044720001.0,SI54,40.56438849,-74.13187941
3890,A0164393,INS-000735488,04/18/2024,2024,BA-1108214-2022,BA-1108214,242 BAY RIDGE MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,23,22,4,Confiscated,Complete Address,242,BAY RIDGE AVE,,,,BROOKLYN,NY,11220,Brooklyn,310.0,47.0,3145616.0,3058710032.0,BK31,40.63609744,-74.02722786
3892,A0162293,INS-000731768,04/05/2024,2024,BA-1102863-2022,BA-1102863,2358 Meat Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,6,Confiscated,Complete Address,2358,UNIVERSITY AVE,,,,BRONX,NY,10468,Bronx,207.0,14.0,2014612.0,2032120058.0,BX30,40.86168043,-73.90588858
3898,A0154707,INS-000717495,02/16/2024,2024,BA-1095829-2022,BA-1095829,229 KNICKERBOCKER MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,12,3,Confiscated,Complete Address,229,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304.0,34.0,3072538.0,3031870001.0,BK77,40.70301631,-73.92573618
3899,A0132884,INS-000662505,08/24/2023,2023,BA-1600499-2023,BA-1600499,2285 GROCERY AND FOOD CORP.,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,11,3,Confiscated,Complete Address,2285,GRAND CONCOURSE,,,,BRONX,NY,10453,Bronx,205.0,14.0,2013769.0,2031630026.0,BX40,40.85707825,-73.9001726
3926,A0174714,INS-000764771,06/21/2024,2024,BA-1722159-2025,BA-1722159,191 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,0,1,Confiscated,Complete Address,1617,SAINT NICHOLAS AVE,,,,NEW YORK,NY,10040,Manhattan,112.0,10.0,1084422.0,1021690048.0,MN35,40.85541452,-73.92928573
3927,A0174714,INS-000764771,06/21/2024,2024,BA-1722159-2025,BA-1722159,191 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,4,1,Confiscated,Complete Address,1617,SAINT NICHOLAS AVE,,,,NEW YORK,NY,10040,Manhattan,112.0,10.0,1084422.0,1021690048.0,MN35,40.85541452,-73.92928573
3962,A0199527,INS-000805085,11/19/2024,2024,BA-1664090-2023,BA-1664090,1490 MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,7,4,Confiscated,Complete Address,1490,CLOVE RD,,,,STATEN ISLAND,NY,10301,Staten Island,501.0,49.0,5016628.0,5006610001.0,SI07,40.61212335,-74.09912253
3967,A0202586,INS-000810846,12/06/2024,2024,BA-1119903-2022,BA-1119903,13TH AVENUE MEAT LLC,SUPER FRESH SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,0,4,Confiscated,Complete Address,7002,13TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310.0,38.0,3157031.0,3061660041.0,BK30,40.62305733,-74.00458212
3968,A0202586,INS-000810846,12/06/2024,2024,BA-1119903-2022,BA-1119903,13TH AVENUE MEAT LLC,SUPER FRESH SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,1,4,Confiscated,Complete Address,7002,13TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310.0,38.0,3157031.0,3061660041.0,BK30,40.62305733,-74.00458212
3973,A0166788,INS-000739509,05/01/2024,2024,BA-1126555-2022,BA-1126555,138-37 FOOD CORP,KEY FOOD SUPERMARKETS,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,4,Confiscated,Complete Address,13837,QUEENS BLVD,,,,JAMAICA,NY,11435,Queens,408.0,24.0,4206512.0,4096490025.0,QN35,40.70811409,-73.81793844
4016,A0212301,INS-000830463,02/18/2025,2025,BA-1112199-2022,BA-1112199,116-15 GMV CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,5,1,Confiscated,Complete Address,11615,METROPOLITAN AVE,,,,RICHMOND HILL,NY,11418,Queens,409.0,29.0,4079441.0,4033240054.0,QN60,40.70729507,-73.83545195
