Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0128853,INS-000654577,07/19/2023,2023,BA-1541708-2022,BA-1541708,ZUNS 193 CORP,MR BEET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,193,SMITH STREET,,,,BROOKLYN,NY,11201,Brooklyn,306,33,3336058,3003970007,,40.68523738,-73.99146181
A0157558,INS-000723282,03/08/2024,2024,BA-1541708-2022,BA-1541708,ZUNS 193 CORP,MR BEET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,193,SMITH ST,,,,BROOKLYN,NY,11201,Brooklyn,306,39,3336058,3003970007,BK38,40.68523738,-73.99146181
A0170520,INS-000746883,05/22/2024,2024,BA-1514341-2022,BA-1514341,ZUNO 975 CORP.,MR MELON,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,975,FULTON STREET,,,,BROOKLYN,NY,11238,Brooklyn,302,35,3056674,3019790054,BK69,40.68288804,-73.96402045
A0133608,INS-000663310,08/30/2023,2023,BA-1553707-2022,BA-1553707,"ZUMY 833, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,313,7TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,306,39,3025854,3010900002,BK37,40.6673073,-73.98121959
A0168263,INS-000742388,05/09/2024,2024,BA-1553707-2022,BA-1553707,"ZUMY 833, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,313,7TH AVE,,,,BROOKLYN,NY,11215,Brooklyn,306,39,3025854,3010900002,BK37,40.6673073,-73.98121959
A0158640,INS-000725195,03/15/2024,2024,BA-1560087-2022,BA-1560087,ZUDY 59 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,59,LAFAYETTE AVENUE,,,,BROOKLYN,NY,11217,Brooklyn,302,35,3058771,3020980090,BK68,40.68705498,-73.9759929
A0162718,INS-000732517,04/09/2024,2024,BA-1691223-2024,BA-1691223,ZUCKER’S FULTON LLC,ZUCKER’S BAGELS FULTON ST.,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,125,FULTON ST,,,,NEW YORK,NY,10038,Manhattan,101,1,1079214,1000910011,MN25,40.71003644,-74.00735827
A0185306,INS-000777758,08/28/2024,2024,BA-1550970-2022,BA-1550970,ZOON 410 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,410,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3074783,3032780026,BK77,40.69974896,-73.92002361
A0171798,INS-000749532,05/31/2024,2024,BA-1512322-2022,BA-1512322,"ZOA 73 MARKETPLACE, INC.",DAONA MARKETPLACE,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,1359,1ST AVE,,,,NEW YORK,NY,10021,Manhattan,108,5,1044884,1014470030,MN31,40.76838702,-73.95558787
A0163521,INS-000733877,04/12/2024,2024,BA-1557531-2022,BA-1557531,ZNN DELI GROCERY LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3433,3 AVENUE,,,,BRONX,NY,10456,Bronx,203,16,2001298,2023710035,BX35,40.82896148,-73.90677318
A0173155,INS-000752383,06/11/2024,2024,BA-1699324-2024,BA-1699324,ZINU 658 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,744,FRANKLIN AVE,,,,BROOKLYN,NY,11238,Brooklyn,308,35,3029489,3011750054,BK61,40.67305664,-73.95711858
A0126894,INS-000651453,07/05/2023,2023,BA-1699324-2024,BA-1699324,ZINU 658 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,744,FRANKLIN AVE,,,,BROOKLYN,NY,11238,Brooklyn,308,35,3029489,3011750054,BK61,40.67305664,-73.95711858
A0163705,INS-000734364,04/16/2024,2024,BA-1539188-2022,BA-1539188,ZIBBER FOOD CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,8920,NORTHERN BLVD,,,,JACKSON HEIGHTS,NY,11372,Queens,403,25,4035410,4014370010,QN28,40.75626297,-73.87858727
A0165143,INS-000736747,04/23/2024,2024,BA-1545441-2022,BA-1545441,ZHONG MEI (USA) TRADING INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,4138,MAIN ST,,,,FLUSHING,NY,11355,Queens,407,20,4432141,4050420039,QN22,40.75716894,-73.82900481
A0163437,INS-000733747,04/12/2024,2024,BA-1577493-2023,BA-1577493,ZEUS DELI & GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,35,VICTORY BLVD,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5000060,5000060151,SI22,40.637766,-74.07650079
A0179163,INS-000764314,07/23/2024,2024,BA-1525350-2022,BA-1525350,ZEPPIERI AND SONS ITALIAN BAKERIES INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3004,BUHRE AVE,,,,BRONX,NY,10461,Bronx,210,13,2046122,2041700030,BX10,40.84708801,-73.83202304
A0177219,INS-000760419,07/10/2024,2024,BA-1537752-2022,BA-1537752,ZEN GINSENG INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,4020,MAIN ST,,,,FLUSHING,NY,11354,Queens,407,20,4114125,4050360042,QN22,40.75908887,-73.82991673
A0150404,INS-000703846,01/17/2024,2024,BA-1509364-2022,BA-1509364,ZEE DELI & GRILL CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,373,NEPTUNE AVE,,,,BROOKLYN,NY,11235,Brooklyn,313,48,3196334,3072600115,BK19,40.58053297,-73.96675759
A0142638,INS-000688306,11/14/2023,2023,BA-1605832-2023,BA-1605832,ZEBROWSKI CORP.,EUROPEAN DELI,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,7526,METROPOLITAN AVE,,,,MIDDLE VILLAGE,NY,11379,Queens,405,30,4091426,4037730019,QN21,40.71291921,-73.87735322
A0169570,INS-000744999,05/16/2024,2024,BA-1576097-2023,BA-1576097,"ZAZAS OF BROOKLYN, INC",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3602,NOSTRAND AVE,,,,BROOKLYN,NY,11229,Brooklyn,315,48,3201584,3073860142,BK17,40.59628058,-73.94110089
A0197995,INS-000802237,11/07/2024,2024,BA-1575525-2023,BA-1575525,ZAYTONA HALAL SUPERMARKET INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,2256,FOREST AVE,,,,STATEN ISLAND,NY,10303,Staten Island,501,49,5033578,5016850055,SI12,40.62699084,-74.16464547
A0162215,INS-000731632,04/04/2024,2024,BA-1679353-2023,BA-1679353,ZAV GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,10260,43RD AVE,,,,CORONA,NY,11368,Queens,404,21,4442990,4019780030,QN26,40.74727497,-73.86243526
A0216416,INS-000837347,03/14/2025,2025,BA-1679353-2023,BA-1679353,ZAV GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,,Complete Address,10260,43RD AVE,,,,CORONA,NY,11368,Queens,404,21,4442990,4019780030,QN26,40.74727497,-73.86243526
A0216416,INS-000837347,03/14/2025,2025,BA-1679353-2023,BA-1679353,ZAV GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,10260,43RD AVE,,,,CORONA,NY,11368,Queens,404,21,4442990,4019780030,QN26,40.74727497,-73.86243526
A0127102,INS-000651734,07/05/2023,2023,BA-1607469-2023,BA-1607469,ZAMZAM LIVE POULTRY II CORP,ZAM ZAM LIVE POULTRY II,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,21250,JAMAICA AVE,,,,QUEENS VILLAGE,NY,11428,Queens,413,27,4238777,4110830041,QN34,40.71584464,-73.74612803
A0127102,INS-000651734,07/05/2023,2023,BA-1607469-2023,BA-1607469,ZAMZAM LIVE POULTRY II CORP,ZAM ZAM LIVE POULTRY II,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Platform Scale - 02,1,1,0,,Complete Address,21250,JAMAICA AVE,,,,QUEENS VILLAGE,NY,11428,Queens,413,27,4238777,4110830041,QN34,40.71584464,-73.74612803
A0151893,INS-000708972,01/26/2024,2024,BA-1675900-2023,BA-1675900,Zamzam Grocery & Meats LLC,Zamzam Grocery & Meats,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,1101,CONEY ISLAND AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,45,3178908,3066860069,BK42,40.63073517,-73.96636151
A0209469,INS-000823913,01/29/2025,2025,BA-1720077-2025,BA-1720077,ZAMAN GOURMET DELI 3 CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,839,BROADWAY,,,,BROOKLYN,NY,11206,Brooklyn,304,34,3326069,3031340005,BK78,40.69901392,-73.93884269
A0166928,INS-000739733,05/01/2024,2024,BA-1693980-2024,BA-1693980,ZAK MINI MART CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,338,CENTRAL AVE,,,,BROOKLYN,NY,11221,Brooklyn,304,37,3075630,3033050048,BK78,40.69521467,-73.92013002
A0157775,INS-000723642,03/11/2024,2024,BA-1595820-2023,BA-1595820,ZAK DELI GROCERY AND GRILL INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,9717,KINGS HWY,,,,BROOKLYN,NY,11212,Brooklyn,317,41,3394556,3046330040,BK81,40.66160183,-73.91965124
A0139792,INS-000683443,10/18/2023,2023,BA-1540985-2022,BA-1540985,ZAITOON CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,1082,CONEY ISLAND AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,45,3170236,3064980022,BK42,40.63113869,-73.96648019
A0206157,INS-000817597,01/03/2025,2025,BA-1718070-2025,BA-1718070,ZAIN MARKET CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,3300,NORTHERN BLVD,,,,LONG ISLAND CITY,NY,11101,Queens,401,26,4003105,4002147501,QN31,40.75198611,-73.9310991
A0211398,INS-000828864,02/11/2025,2025,BA-1525607-2022,BA-1525607,ZAID GOURMET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1634,MADISON AVE,,,,NEW YORK,NY,10029,Manhattan,111,9,1051601,1016150014,MN33,40.79568573,-73.94799605
A0149142,INS-000700628,01/04/2024,2024,BA-1582507-2023,BA-1582507,ZAID DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1236,INTERVALE AVE,,,,BRONX,NY,10459,Bronx,203,17,2010460,2029740010,BX35,40.82898656,-73.89447298
A0144267,INS-000691969,11/27/2023,2023,BA-1554580-2022,BA-1554580,ZAHARA CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,9742,63RD RD,,,,REGO PARK,NY,11374,Queens,406,24,4050428,4020890022,QN18,40.73129222,-73.86012657
A0175780,INS-000752756,06/28/2024,2024,BA-1510465-2022,BA-1510465,ZABARS & CO. INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,45,45,0,,Complete Address,2245,BROADWAY,,,,NEW YORK,NY,10024,Manhattan,107,6,1081046,1012280008,MN12,40.78471943,-73.97933762
A0184580,INS-000776124,08/22/2024,2024,BA-1530611-2022,BA-1530611,ZAARA CONVENIENCE DELI & GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,7820,101ST AVE,,,,OZONE PARK,NY,11416,Queens,409,32,4188731,4090790001,QN56,40.68051013,-73.85918391
A0191831,INS-000789644,10/02/2024,2024,BA-1562840-2022,BA-1562840,"Z & X STORE, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,6533,AUSTIN ST,,,,REGO PARK,NY,11374,Queens,406,30,4072616,4031000002,QN18,40.72584876,-73.85963289
A0139206,INS-000682476,10/16/2023,2023,BA-1562840-2022,BA-1562840,"Z & X STORE, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,6533,AUSTIN ST,,,,REGO PARK,NY,11374,Queens,406,30,4072616,4031000002,QN18,40.72584876,-73.85963289
A0179171,INS-000764317,07/23/2024,2024,BA-1532980-2022,BA-1532980,Z & H MINI MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,1427,NOSTRAND AVE,,,,BROOKLYN,NY,11226,Brooklyn,317,40,3108544,3048690009,BK95,40.65143847,-73.94962931
A0216545,INS-000837690,03/17/2025,2025,BA-1724120-2025,BA-1724120,Z & H  GRILL CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,297,7TH AVE,,,,NEW YORK,NY,10001,Manhattan,105,3,1015058,1008020078,MN17,40.74646766,-73.99391167
A0211428,INS-000828912,02/11/2025,2025,BA-1721115-2025,BA-1721115,Z - GRILL & PIZZERIA CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,803,8TH AVE,,,,NEW YORK,NY,10019,Manhattan,104,3,1025144,1010390032,MN15,40.76137103,-73.98678461
A0217156,INS-000838726,03/20/2025,2025,BA-1605322-2023,BA-1605322,"YUN, SUNG H",YUN'S FRUIT MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,349,E 138TH ST,,,,BRONX,NY,10454,Bronx,201,8,2000607,2023010045,BX39,40.80976412,-73.92443581
A0146328,INS-000695461,12/11/2023,2023,BA-1552497-2022,BA-1552497,YUMMY HAPPY GOURMET DELI INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,201,E 163RD ST,,,,BRONX,NY,10451,Bronx,204,16,2002708,2024550001,BX14,40.82806571,-73.92006812
A0179406,INS-000764743,07/23/2024,2024,BA-1669083-2023,BA-1669083,YUMMY GOURMET DELI 1 CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,379,BEDFORD PARK BLVD,,,,BRONX,NY,10458,Bronx,207,11,2016427,2032800001,BX05,40.86777847,-73.88403839
A0207803,INS-000820719,01/16/2025,2025,BA-1708856-2024,BA-1708856,YUM DELI AND GROCERY 1 CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,2909,SURF AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3189522,3070510048,BK21,40.57286869,-73.99506856
A0203641,INS-000812783,12/12/2024,2024,BA-1716661-2024,BA-1716661,YR MARKET FRESH CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,108,MOORE ST,,,,BROOKLYN,NY,11206,Brooklyn,301,34,3071521,3031060020,BK90,40.70387343,-73.94128355
A0140114,INS-000684008,10/20/2023,2023,BA-1675813-2023,BA-1675813,YOWALLA INC.,16 Handles,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,139,N 7TH ST,,,,BROOKLYN,NY,11249,Brooklyn,301,33,3397614,3023197501,BK73,40.71825795,-73.95838818
A0203242,INS-000812088,12/11/2024,2024,BA-1675813-2023,BA-1675813,YOWALLA INC.,16 Handles,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,139,N 7TH ST,,,,BROOKLYN,NY,11249,Brooklyn,301,33,3397614,3023197501,BK73,40.71825795,-73.95838818
A0211169,INS-000828417,02/07/2025,2025,BA-1720868-2025,BA-1720868,YOURWAYDELI INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,33,VICTORY BLVD,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5000059,5000060150,SI22,40.63776879,-74.07642873
A0142898,INS-000688696,11/15/2023,2023,BA-1550200-2022,BA-1550200,"YOUR TASTE DELI, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,2524,FOREST AVE,,,,STATEN ISLAND,NY,10303,Staten Island,501,49,5090158,5013800047,SI12,40.62677677,-74.1739502
A0195260,INS-000796762,10/23/2024,2024,BA-1468345-2022,BA-1468345,"YOUR CHOICE DELI, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,175,GARRETSON AVE,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5049304,5033380056,SI36,40.58905914,-74.09548063
A0170966,INS-000747717,05/23/2024,2024,BA-1537023-2022,BA-1537023,YOUR CHOICE DELI GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,2363,VALENTINE AVE,,FRNT,1,BRONX,NY,10458,Bronx,205,15,2013573,2031510030,BX40,40.8585827,-73.89744459
A0205636,INS-000816709,12/31/2024,2024,BA-1604386-2023,BA-1604386,YOUNGS FOOD MARKET INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,87-74,PARSONS BOULEVARD,,,,JAMAICA,NY,11432,Queens,412,27,4208930,4097630033,QN35,40.70731747,-73.80256819
A0170074,INS-000746094,05/21/2024,2024,BA-1545832-2022,BA-1545832,YOUNG FISH 110 MARKET INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,2004,3RD AVE,,,,NEW YORK,NY,10029,Manhattan,111,8,1082321,1016380033,MN33,40.79423128,-73.9427496
A0151535,INS-000707398,01/24/2024,2024,BA-1511730-2022,BA-1511730,YORK BAGELS INC,BAGELS & CO,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1428,YORK AVE,,,,NEW YORK,NY,10021,Manhattan,108,5,1046309,1014870049,MN31,40.76928584,-73.95195901
A0188342,INS-000783471,09/17/2024,2024,BA-1546385-2022,BA-1546385,YOHAN'S MEXICAN MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,9110,CORONA AVE,,,,ELMHURST,NY,11373,Queens,404,25,4045614,4018480001,QN29,40.74248127,-73.87321008
A0130990,INS-000658672,08/10/2023,2023,BA-1483815-2022,BA-1483815,"YO-BURGER, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,3726,RIVERDALE AVE,,,,BRONX,NY,10463,Bronx,208,11,2083999,2057720008,BX29,40.88738277,-73.90716503
A0181769,INS-000770249,08/06/2024,2024,BA-1704939-2024,BA-1704939,YL DELI MARKET CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,438,TROY AVE,,,,BROOKLYN,NY,11203,Brooklyn,309,40,3038438,3014260040,BK63,40.66339138,-73.93723892
A0200222,INS-000806310,11/21/2024,2024,BA-1715004-2024,BA-1715004,YI JIE SHA GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,5423,9TH AVE,,,,BROOKLYN,NY,11220,Brooklyn,312,43,3139177,3056730001,BK88,40.63720948,-74.00417234
A0160524,INS-000728708,03/27/2024,2024,BA-1689967-2024,BA-1689967,YI 86 CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,524,COLUMBUS AVE,,,,NEW YORK,NY,10024,Manhattan,107,6,1032161,1012160027,MN12,40.78601626,-73.97252667
A0212738,INS-000831160,02/21/2025,2025,BA-1603040-2023,BA-1603040,YI 86 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,524,COLUMBUS AVE,,,,NEW YORK,NY,10024,Manhattan,107,6,1032161,1012160027,MN12,40.78601626,-73.97252667
A0191883,INS-000789761,10/03/2024,2024,BA-1541880-2022,BA-1541880,YESENIA A. RODRIGUEZ & MARCO A. TAVAREZ RAMIREZ,QUISQUEYA GROCERY,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,120,GRATTAN ST,,,,BROOKLYN,NY,11237,Brooklyn,301,34,3070700,3030100007,BK77,40.70622373,-73.92814555
A0184208,INS-000775402,08/21/2024,2024,BA-1595909-2023,BA-1595909,YEMEN AL KHAIR GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,3305,CHURCH AVE,,,,BROOKLYN,NY,11203,Brooklyn,317,40,3108642,3048700040,,40.6509677,-73.94650156
A0164316,INS-000735374,04/18/2024,2024,BA-1541342-2022,BA-1541342,YEMAN DISCOUNT DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1401,CENTRAL AVE,,,,FAR ROCKAWAY,NY,11691,Queens,414,31,4298042,4155440040,QN15,40.60642753,-73.75044444
A0155924,INS-000720100,02/27/2024,2024,BA-1520760-2022,BA-1520760,"YEH'S BAKERY, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,5725,MAIN ST,,,,FLUSHING,NY,11355,Queens,407,20,4140072,4064010006,QN62,40.74587258,-73.82603838
A0202625,INS-000810921,12/06/2024,2024,BA-1716203-2024,BA-1716203,YDHNY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,4,Confiscated,Complete Address,1525,ALBANY AVE,,,,BROOKLYN,NY,11210,Brooklyn,317,45,3114503,3050160013,BK91,40.63600402,-73.93740159
A0142723,INS-000688438,11/14/2023,2023,BA-1610997-2023,BA-1610997,YC CAFE INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,2022,FRANCIS LEWIS BLVD,,,,WHITESTONE,NY,11357,Queens,407,19,4110316,4048760001,QN47,40.77982526,-73.80229904
A0165966,INS-000738092,04/26/2024,2024,BA-1522064-2022,BA-1522064,YAYIS DELI & GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,526,E 183RD ST,,,,BRONX,NY,10458,Bronx,206,15,2011560,2030500066,BX01,40.85467745,-73.89194521
A0200708,INS-000807410,11/25/2024,2024,BA-1661889-2023,BA-1661889,Yashi Food Inc.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,4630,VERNON BLVD,,,,LONG ISLAND CITY,NY,11101,Queens,402,26,4000055,4000280046,QN31,40.7460328,-73.95300794
A0134182,INS-000664244,09/05/2023,2023,BA-1661889-2023,BA-1661889,Yashi Food Inc.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,,Complete Address,4630,VERNON BLVD,,,,LONG ISLAND CITY,NY,11101,Queens,402,26,4000055,4000280046,QN31,40.7460328,-73.95300794
A0187607,INS-000782065,09/11/2024,2024,BA-1492535-2022,BA-1492535,YANNA CONVENIENCE & DELI INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,4180,BOWNE ST,,,,FLUSHING,NY,11355,Queens,407,20,4117041,4051810046,QN22,40.75760945,-73.82263999
A0209886,INS-000826163,01/31/2025,2025,BA-1536812-2022,BA-1536812,YANKEE TWO DELI INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,122,AVENUE C,,,,NEW YORK,NY,10009,Manhattan,103,2,1004502,1003770007,MN28,40.72455445,-73.97850484
A0160789,INS-000729134,03/28/2024,2024,BA-1690080-2024,BA-1690080,YANKEE ONE DELI INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,278,W FORDHAM RD,,,,BRONX,NY,10468,Bronx,207,14,2015088,2032340006,BX36,40.86168196,-73.91128611
A0135444,INS-000666420,09/14/2023,2023,BA-1604995-2023,BA-1604995,YANKEE DELI INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,647,E 11TH ST,,,,NEW YORK,NY,10009,Manhattan,103,2,1004914,1003940044,MN28,40.7267199,-73.97767793
A0174718,INS-000755356,06/21/2024,2024,BA-1692847-2024,BA-1692847,YANGI BAZAAR CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,2359,CONEY ISLAND AVE,,,,BROOKLYN,NY,11223,Brooklyn,315,48,3197900,3073150064,BK25,40.59945115,-73.96126382
A0176648,INS-000759279,07/05/2024,2024,BA-1538933-2022,BA-1538933,YANG HEE LEE,KING FARM,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,22701,MERRICK BLVD,,,,LAURELTON,NY,11413,Queens,413,31,4448940,4129660020,QN66,40.67695501,-73.74293764
A0163556,INS-000733920,04/12/2024,2024,BA-1701616-2024,BA-1701616,YAILIN FOOD CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,18819,JAMAICA AVE,,,,HOLLIS,NY,11423,Queens,412,23,4222074,4104430015,QN61,40.71097443,-73.77050145
A0207085,INS-000819447,01/10/2025,2025,BA-1506755-2022,BA-1506755,YAFFA DELI & GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,719,LYDIG AVE,,UNIT,A,BRONX,NY,10462,Bronx,211,13,2049402,2043180057,BX49,40.85448928,-73.86684773
