Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0186883,INS-000780564,09/06/2024,2024,BA-1507894-2022,BA-1507894,TWO DELI CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,140,PENNSYLVANIA AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,37,3083511,3036860034,BK85,40.67420654,-73.89647355
A0178169,INS-000762312,07/16/2024,2024,BA-1482850-2022,BA-1482850,TWO BROTHERS DELI & GRILL CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,10720,LIBERTY AVE,,,,OZONE PARK,NY,11417,Queens,410,28,4202231,4095300010,QN55,40.68348507,-73.83416943
A0174217,INS-000754434,06/18/2024,2024,BA-1548006-2022,BA-1548006,TWINS ZERO CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,1137,BRIGHTON BEACH AVE,,,,BROOKLYN,NY,11235,Brooklyn,313,48,3245668,3087170022,BK19,40.57763071,-73.95565711
A0167218,INS-000740216,05/02/2024,2024,BA-1566011-2022,BA-1566011,TULCINGO RESTAURANT INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,665,10TH AVE,,,,NEW YORK,NY,10036,Manhattan,104,3,1026970,1010750035,MN15,40.76268084,-73.99326764
A0153994,INS-000715821,02/09/2024,2024,BA-1511689-2022,BA-1511689,TULCINGO DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,,Complete Address,115,WYCKOFF AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3073664,3032380003,BK77,40.70445308,-73.9194445
A0185219,INS-000777544,08/27/2024,2024,BA-1661940-2023,BA-1661940,TT Seafood Meat Market Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,,Complete Address,5707,8TH AVE,,,,BROOKLYN,NY,11220,Brooklyn,312,43,3140166,3056930007,BK34,40.63708302,-74.00789068
A0185219,INS-000777544,08/27/2024,2024,BA-1661940-2023,BA-1661940,TT Seafood Meat Market Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,6,6,0,,Complete Address,5707,8TH AVE,,,,BROOKLYN,NY,11220,Brooklyn,312,43,3140166,3056930007,BK34,40.63708302,-74.00789068
A0137215,INS-000678948,09/27/2023,2023,BA-1661940-2023,BA-1661940,TT Seafood Meat Market Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,12,12,0,,Complete Address,5707,8TH AVE,,,,BROOKLYN,NY,11220,Brooklyn,312,43,3140166,3056930007,BK34,40.63708302,-74.00789068
A0202478,INS-000810648,12/05/2024,2024,BA-1529778-2022,BA-1529778,TROPICAL DELI & GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,4402,BROADWAY,,,,ASTORIA,NY,11103,Queens,401,22,4012368,4007070035,QN70,40.75740497,-73.91568066
A0209823,INS-000826037,01/30/2025,2025,BA-1543695-2022,BA-1543695,TRONCOSO DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,590,SOUTHERN BLVD,,FRNT,2,BRONX,NY,10455,Bronx,202,17,2004128,2026030024,BX33,40.81255561,-73.90262366
