Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,UniqueBusinessID_NoYear,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0210542,INS-000827310,02/05/2025,2025,BA-1213253-2022,BA-1213253,"D'AGOSTINO'S MARKETS, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,2,0,,Complete Address,815,10TH AVE,,,,NEW YORK,NY,10019,Manhattan,104,6,1087122,1010830029,MN15,40.76728627,-73.98990617
A0210542,INS-000827310,02/05/2025,2025,BA-1213253-2022,BA-1213253,"D'AGOSTINO'S MARKETS, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,815,10TH AVE,,,,NEW YORK,NY,10019,Manhattan,104,6,1087122,1010830029,MN15,40.76728627,-73.98990617
A0210542,INS-000827310,02/05/2025,2025,BA-1213253-2022,BA-1213253,"D'AGOSTINO'S MARKETS, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,6,0,,Complete Address,815,10TH AVE,,,,NEW YORK,NY,10019,Manhattan,104,6,1087122,1010830029,MN15,40.76728627,-73.98990617
A0154580,INS-000717203,02/15/2024,2024,BA-1172783-2022,BA-1172783,DAGOSTINO SUPERMARKETS INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,341,3RD AVE,,,,NEW YORK,NY,10010,Manhattan,106,2,1019821,1009060001,MN20,40.74020291,-73.98213729
A0185333,INS-000777793,08/28/2024,2024,BA-1213339-2022,BA-1213339,DAGOSTINOS MARKETS LLC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,966,1ST AVE,,,,NEW YORK,NY,10022,Manhattan,106,4,1040162,1013657501,MN19,40.7558467,-73.96470655
A0138468,INS-000681256,10/06/2023,2023,BA-1635209-2023,BA-1635209,DAN'S SUPREME SUPERMARKETS INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,18,0,,Complete Address,21414,73RD AVE,,,,OAKLAND GDNS,NY,11364,Queens,411,23,4444451,4077320050,QN42,40.7403626,-73.7597114
A0206751,INS-000818820,01/09/2025,2025,BA-1635209-2023,BA-1635209,DAN'S SUPREME SUPERMARKETS INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,18,0,,Complete Address,21414,73RD AVE,,,,OAKLAND GDNS,NY,11364,Queens,411,23,4444451,4077320050,QN42,40.7403626,-73.7597114
A0187803,INS-000782425,09/12/2024,2024,BA-1232293-2022,BA-1232293,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,17,17,0,,Complete Address,450,FOREST AVE,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5007151,5002590001,SI35,40.63071462,-74.10443172
A0189542,INS-000784967,09/23/2024,2024,BA-1232293-2022,BA-1232293,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,450,FOREST AVE,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5007151,5002590001,SI35,40.63071462,-74.10443172
A0168648,INS-000741991,05/10/2024,2024,BA-1231912-2022,BA-1231912,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,540,W 235TH ST,,,,BRONX,NY,10463,Bronx,208,11,2084091,2057860204,BX29,40.88550152,-73.90917844
A0191316,INS-000788689,10/01/2024,2024,BA-1232646-2022,BA-1232646,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,25,25,0,,Complete Address,15355,CROSS ISLAND PKWY,,,,WHITESTONE,NY,11357,Queens,407,19,4439673,4047170016,QN49,40.78693887,-73.80835191
A0157698,INS-000721566,03/11/2024,2024,BA-1231912-2022,BA-1231912,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,,Complete Address,540,W 235TH ST,,,,BRONX,NY,10463,Bronx,208,11,2084091,2057860204,BX29,40.88550152,-73.90917844
A0162867,INS-000730874,04/10/2024,2024,BA-1231912-2022,BA-1231912,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,20,20,0,,Complete Address,540,W 235TH ST,,,,BRONX,NY,10463,Bronx,208,11,2084091,2057860204,BX29,40.88550152,-73.90917844
A0213860,INS-000832905,02/27/2025,2025,BA-1231912-2022,BA-1231912,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,18,18,0,,Complete Address,540,W 235TH ST,,,,BRONX,NY,10463,Bronx,208,11,2084091,2057860204,BX29,40.88550152,-73.90917844
A0213860,INS-000832905,02/27/2025,2025,BA-1231912-2022,BA-1231912,DANS SUPREME SUPERMARKETS INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,540,W 235TH ST,,,,BRONX,NY,10463,Bronx,208,11,2084091,2057860204,BX29,40.88550152,-73.90917844
A0161094,INS-000729637,03/29/2024,2024,BA-1690258-2024,BA-1690258,DAY FRESH 75 BROADWAY INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,14,0,,Complete Address,75,E BROADWAY,,,,NEW YORK,NY,10002,Manhattan,103,1,1081960,1002820003,MN27,40.71370628,-73.99434031
A0214591,INS-000834166,03/05/2025,2025,BA-1690258-2024,BA-1690258,DAY FRESH 75 BROADWAY INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,14,0,,Complete Address,75,E BROADWAY,,,,NEW YORK,NY,10002,Manhattan,103,1,1081960,1002820003,MN27,40.71370628,-73.99434031
A0160369,INS-000728452,03/26/2024,2024,BA-1596319-2023,BA-1596319,DEKALB FRESH MARKET LLC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,5,0,,Complete Address,825,DEKALB AVE,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3424850,3017767504,BK75,40.69228612,-73.94349343
A0160369,INS-000728452,03/26/2024,2024,BA-1596319-2023,BA-1596319,DEKALB FRESH MARKET LLC,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,825,DEKALB AVE,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3424850,3017767504,BK75,40.69228612,-73.94349343
A0160369,INS-000728452,03/26/2024,2024,BA-1596319-2023,BA-1596319,DEKALB FRESH MARKET LLC,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,3,3,0,,Complete Address,825,DEKALB AVE,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3424850,3017767504,BK75,40.69228612,-73.94349343
A0174544,INS-000755030,06/20/2024,2024,BA-1654868-2023,BA-1654868,DEVIN FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,7,0,,Complete Address,14840,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,412,27,4207108,4096940023,QN61,40.70617412,-73.8081549
A0174544,INS-000755030,06/20/2024,2024,BA-1654868-2023,BA-1654868,DEVIN FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,,Complete Address,14840,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,412,27,4207108,4096940023,QN61,40.70617412,-73.8081549
A0174544,INS-000755030,06/20/2024,2024,BA-1654868-2023,BA-1654868,DEVIN FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,,Complete Address,14840,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,412,27,4207108,4096940023,QN61,40.70617412,-73.8081549
A0132202,INS-000660959,08/21/2023,2023,BA-1654868-2023,BA-1654868,DEVIN FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,14840,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,412,27,4207108,4096940023,QN61,40.70617412,-73.8081549
A0206704,INS-000818740,01/09/2025,2025,BA-1654868-2023,BA-1654868,DEVIN FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,,Complete Address,14840,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,412,27,4207108,4096940023,QN61,40.70617412,-73.8081549
A0173264,INS-000752558,06/11/2024,2024,BA-1196459-2022,BA-1196459,DKA FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,,Complete Address,1125,FULTON STREET,,,,BROOKLYN,NY,11238,Brooklyn,303,36,3057398,3019970053,BK69,40.68134293,-73.95662291
