NAME,B19013_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
Census Tract 85; Bronx County; New York,43531,723,1550,18,140,0,2464,770,36,Bronx,008500
Census Tract 86; Bronx County; New York,24023,633,1769,0,185,0,982,548,36,Bronx,008600
Census Tract 87; Bronx County; New York,40708,445,1600,0,0,0,3062,1192,36,Bronx,008700
Census Tract 89; Bronx County; New York,36625,347,469,154,0,26,1737,260,36,Bronx,008900
Census Tract 90; Bronx County; New York,33275,594,1334,105,71,0,911,578,36,Bronx,009000
Census Tract 92; Bronx County; New York,56913,790,566,83,1470,0,2246,520,36,Bronx,009200
Census Tract 93.01; Bronx County; New York,54241,430,1621,30,0,154,2312,1068,36,Bronx,009301
Census Tract 93.02; Bronx County; New York,-666666666,92,202,14,18,0,29,50,36,Bronx,009302
Census Tract 96; Bronx County; New York,53523,349,311,0,429,0,1029,234,36,Bronx,009600
Census Tract 98; Bronx County; New York,67500,1040,1239,0,247,0,1445,676,36,Bronx,009800
Census Tract 110; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,011000
Census Tract 115.02; Bronx County; New York,30172,211,1387,10,28,0,1479,735,36,Bronx,011502
Census Tract 117.01; Bronx County; New York,35298,8,229,64,0,0,896,121,36,Bronx,011701
Census Tract 117.02; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,011702
Census Tract 118; Bronx County; New York,100500,3882,253,20,114,0,520,749,36,Bronx,011800
Census Tract 119; Bronx County; New York,36250,302,2370,6,0,90,1977,1144,36,Bronx,011900
Census Tract 121.01; Bronx County; New York,51205,244,1096,97,19,32,1397,528,36,Bronx,012101
Census Tract 121.02; Bronx County; New York,43032,76,809,28,0,0,525,57,36,Bronx,012102
Census Tract 123; Bronx County; New York,36154,179,2229,0,50,0,1403,231,36,Bronx,012300
Census Tract 125; Bronx County; New York,58333,359,721,0,0,0,1992,1074,36,Bronx,012500
Census Tract 127.01; Bronx County; New York,49784,214,624,0,0,0,982,565,36,Bronx,012701
Census Tract 129.01; Bronx County; New York,35521,530,1310,31,0,0,2423,967,36,Bronx,012901
Census Tract 130; Bronx County; New York,65357,649,9,0,18,0,342,311,36,Bronx,013000
Census Tract 131; Bronx County; New York,18408,619,2197,141,0,0,1757,496,36,Bronx,013100
Census Tract 132; Bronx County; New York,108582,2236,1173,0,687,134,1159,1737,36,Bronx,013200
Census Tract 133; Bronx County; New York,31762,425,2138,0,425,0,1764,1086,36,Bronx,013300
Census Tract 135; Bronx County; New York,30865,580,1907,0,58,0,406,344,36,Bronx,013500
Census Tract 138; Bronx County; New York,90032,1653,432,21,318,0,377,156,36,Bronx,013800
Census Tract 141; Bronx County; New York,35238,236,3189,64,25,0,2413,937,36,Bronx,014100
Census Tract 143; Bronx County; New York,16734,77,704,50,116,0,391,347,36,Bronx,014300
Census Tract 144; Bronx County; New York,32197,607,2348,63,55,0,2276,1116,36,Bronx,014400
Census Tract 145; Bronx County; New York,28022,386,4399,0,0,0,1282,493,36,Bronx,014500
Census Tract 147.01; Bronx County; New York,23500,302,3154,0,30,0,829,836,36,Bronx,014701
Census Tract 147.02; Bronx County; New York,21533,519,2303,0,0,45,1102,1016,36,Bronx,014702
Census Tract 149; Bronx County; New York,35213,578,1896,0,0,0,1759,522,36,Bronx,014900
Census Tract 151; Bronx County; New York,30558,467,3072,0,0,0,1631,244,36,Bronx,015100
Census Tract 152; Bronx County; New York,84265,1099,326,0,36,0,709,431,36,Bronx,015200
Census Tract 153; Bronx County; New York,34704,337,1618,0,0,0,592,955,36,Bronx,015300
Census Tract 155; Bronx County; New York,42118,135,1096,30,31,0,1417,445,36,Bronx,015500
Census Tract 157; Bronx County; New York,45731,411,3011,13,23,0,1488,1013,36,Bronx,015700
Census Tract 158; Bronx County; New York,81000,805,103,0,99,0,400,218,36,Bronx,015800
Census Tract 159; Bronx County; New York,24654,68,642,9,83,0,830,521,36,Bronx,015900
Census Tract 160; Bronx County; New York,97445,2621,180,50,330,0,702,180,36,Bronx,016000
Census Tract 161; Bronx County; New York,23466,793,1686,0,0,0,1361,949,36,Bronx,016100
Census Tract 162; Bronx County; New York,102361,652,132,0,171,0,542,305,36,Bronx,016200
Census Tract 163; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,016300
Census Tract 164; Bronx County; New York,95781,491,55,11,342,0,61,147,36,Bronx,016400
Census Tract 165; Bronx County; New York,59000,50,803,0,0,0,328,52,36,Bronx,016500
Census Tract 166; Bronx County; New York,107344,599,390,32,130,0,1006,230,36,Bronx,016600
Census Tract 167; Bronx County; New York,36181,153,1546,31,0,0,762,711,36,Bronx,016700
Census Tract 169; Bronx County; New York,47610,100,820,12,0,0,415,412,36,Bronx,016900
Census Tract 171; Bronx County; New York,-666666666,0,0,0,0,0,0,0,36,Bronx,017100
Census Tract 173; Bronx County; New York,-666666666,977,2335,196,49,0,1381,319,36,Bronx,017300
Census Tract 175; Bronx County; New York,-666666666,566,4259,138,0,0,1218,263,36,Bronx,017500
Census Tract 177.01; Bronx County; New York,46070,295,2407,39,99,0,770,956,36,Bronx,017701
Census Tract 177.02; Bronx County; New York,38897,775,2961,134,166,0,637,563,36,Bronx,017702
Census Tract 179.01; Bronx County; New York,45292,394,1591,53,220,0,1915,820,36,Bronx,017901
Census Tract 179.02; Bronx County; New York,46230,179,1660,0,0,0,1198,534,36,Bronx,017902
Census Tract 181.01; Bronx County; New York,55400,86,1408,38,2,0,1693,118,36,Bronx,018101
Census Tract 181.02; Bronx County; New York,36334,179,2105,228,6,0,1731,654,36,Bronx,018102
Census Tract 183.01; Bronx County; New York,54226,1015,1489,0,122,0,1037,764,36,Bronx,018301
Census Tract 183.02; Bronx County; New York,65196,37,1437,409,1,0,959,458,36,Bronx,018302
Census Tract 184; Bronx County; New York,101705,1806,248,0,703,0,810,427,36,Bronx,018400
Census Tract 185.01; Bronx County; New York,-666666666,237,1625,0,0,0,857,435,36,Bronx,018501
Census Tract 185.02; Bronx County; New York,32656,1022,2327,0,0,0,2011,1298,36,Bronx,018502
Census Tract 189; Bronx County; New York,48054,933,3549,80,50,0,2901,862,36,Bronx,018900
Census Tract 193; Bronx County; New York,41268,1034,3124,0,0,0,1030,563,36,Bronx,019300
Census Tract 194; Bronx County; New York,87188,492,452,0,158,0,603,261,36,Bronx,019400
Census Tract 195; Bronx County; New York,37374,660,3367,33,56,0,2187,983,36,Bronx,019500
Census Tract 197; Bronx County; New York,24383,1289,1417,61,229,0,3892,590,36,Bronx,019700
Census Tract 199; Bronx County; New York,31228,550,3007,0,0,0,2674,1069,36,Bronx,019900
Census Tract 200; Bronx County; New York,47161,602,499,0,1471,0,1949,404,36,Bronx,020000
Census Tract 201; Bronx County; New York,36218,385,1201,15,18,0,1623,708,36,Bronx,020100
Census Tract 202; Bronx County; New York,52061,257,270,0,386,0,1461,223,36,Bronx,020200
Census Tract 204; Bronx County; New York,60504,555,316,11,403,0,1179,502,36,Bronx,020400
Census Tract 205.01; Bronx County; New York,20821,1540,2020,19,35,0,2741,964,36,Bronx,020501
Census Tract 205.02; Bronx County; New York,41125,257,1028,0,24,0,693,399,36,Bronx,020502
Census Tract 206.01; Bronx County; New York,59138,208,220,46,913,0,866,294,36,Bronx,020601
Census Tract 209; Bronx County; New York,39795,684,2183,0,29,15,1501,813,36,Bronx,020900
Census Tract 210.01; Bronx County; New York,46223,416,4356,14,868,0,1347,518,36,Bronx,021001
Census Tract 210.02; Bronx County; New York,70500,599,3080,268,1568,0,1557,381,36,Bronx,021002
Census Tract 211; Bronx County; New York,50204,775,2074,178,73,0,2176,1015,36,Bronx,021100
Census Tract 212; Bronx County; New York,69088,442,1892,65,1701,0,796,331,36,Bronx,021200
Census Tract 213.01; Bronx County; New York,47959,77,449,0,0,0,419,299,36,Bronx,021301
Census Tract 213.02; Bronx County; New York,30473,349,2509,0,54,0,1994,698,36,Bronx,021302
Census Tract 215.01; Bronx County; New York,43750,907,924,688,67,38,1330,658,36,Bronx,021501
Census Tract 215.02; Bronx County; New York,-666666666,681,2191,219,1,0,2552,1309,36,Bronx,021502
Census Tract 216.01; Bronx County; New York,54565,931,882,80,455,0,1732,785,36,Bronx,021601
Census Tract 216.02; Bronx County; New York,59408,310,1985,22,1990,0,1394,643,36,Bronx,021602
