Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0173116,INS-000752318,06/11/2024,2024,BA-1684018-2024,AMG Retail I LLC,AMG RETAIL 1 LLC #187,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,2,1,1,Confiscated,Complete Address,1610,BUSHWICK AVE,,,,BROOKLYN,NY,11207,Brooklyn,304,37,3388955,3034740027,BK78,40.68096727,-73.90317275
A0210740,INS-000827640,02/06/2025,2025,BA-1573648-2023,MUKTI 31 PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,3102,ASTORIA BLVD,,,,ASTORIA,NY,11102,Queens,401,22,4008674,4006200024,QN70,40.76986516,-73.91818483
A0212637,INS-000830995,02/20/2025,2025,BA-1545591-2022,SOCO PETRO LLC,AMG#2,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,3500,CONNER ST,,,,BRONX,NY,10475,Bronx,212,12,2072561,2052810021,BX13,40.88483645,-73.82683203
A0212779,INS-000831221,02/21/2025,2025,BA-1464327-2022,RANA GAS CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,784,JAMAICA AVE,,,,BROOKLYN,NY,11208,Brooklyn,305,37,3090873,3041040034,BK83,40.68844533,-73.87592706
A0212200,INS-000830311,02/18/2025,2025,BA-1336815-2022,H & K MART INC.,SHELL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,2001,CROPSEY AVE,,,,BROOKLYN,NY,11214,Brooklyn,311,47,3168802,3064420005,BK27,40.60013836,-74.00270079
A0208287,INS-000835596,01/22/2025,2025,BA-1616765-2023,1407 WESTSIDE MARKET  LLC,WESTSIDE MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,16,15,1,Confiscated,Complete Address,1407,LEXINGTON AVE,,,,NEW YORK,NY,10128,Manhattan,108,5,1048344,1015210020,MN40,40.78344899,-73.95268543
A0212301,INS-000830463,02/18/2025,2025,BA-1112199-2022,116-15 GMV CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,6,5,1,Confiscated,Complete Address,11615,METROPOLITAN AVE,,,,RICHMOND HILL,NY,11418,Queens,409,29,4079441,4033240054,QN60,40.70729507,-73.83545195
A0210161,INS-000826711,02/03/2025,2025,BA-1605984-2023,BOLLA OPERATING CORPORATION,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,387,PORT RICHMOND AVE,,,,STATEN ISLAND,NY,10302,Staten Island,501,49,5024726,5010460005,SI28,40.6325657,-74.13733549
A0211670,INS-000829444,02/12/2025,2025,BA-1125874-2022,145TH STREET AUTO CTR INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,150,W 145TH ST,,,,NEW YORK,NY,10039,Manhattan,110,9,1060174,1020130029,MN03,40.82101713,-73.93762859
A0212419,INS-000830670,02/19/2025,2025,BA-1102660-2022,BERIL CORP,CITGO,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,2,0,1,Confiscated,Complete Address,914,REMSEN AVE,,,,BROOKLYN,NY,11236,Brooklyn,318,42,3222228,3079460040,BK50,40.64596222,-73.91236571
A0210322,INS-000826957,02/04/2025,2025,BA-1320677-2022,GRAND PETROLEUM LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1049,GRAND ST,,,,BROOKLYN,NY,11211,Brooklyn,301,34,3070486,3029250037,BK90,40.71374207,-73.9334292
A0211837,INS-000829679,02/13/2025,2025,BA-1078824-2022,ASTORIA CENTER INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,4402,ASTORIA BLVD,,,,ASTORIA,NY,11103,Queens,401,22,4012858,4007170029,QN70,40.76820154,-73.90692683
A0209743,INS-000825916,01/30/2025,2025,BA-1550926-2022,SPEEDWAY LLC,SPEEDWAY #07838,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,1,Confiscated,Complete Address,1201,WEBSTER AVE,,,,BRONX,NY,10456,Bronx,204,16,2120159,2024260064,BX14,40.83183767,-73.90988046
A0212786,INS-000831235,02/21/2025,2025,BA-1442716-2022,MYRTLE & GROVE GAS INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1525,MYRTLE AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3076175,3033280008,BK77,40.69923979,-73.91428642
A0160871,INS-000729271,03/28/2024,2024,BA-991760-2022,"BROWN & WHITE MARKETS, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,16,14,1,Confiscated,Complete Address,311,E 23RD ST,,,,NEW YORK,NY,10010,Manhattan,106,2,1084710,1009290001,,40.73766373,-73.98035538
A0209426,INS-000823839,01/29/2025,2025,BA-1435889-2022,M1D FUEL CORP.,SHELL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1635,HYLAN BLVD,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5049286,5033370027,SI36,40.58895654,-74.08996459
A0210998,INS-000828106,02/07/2025,2025,BA-1305832-2022,Kingsland Service Station Inc,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,1,Confiscated,Complete Address,51,KINGSLAND AVE,,,,BROOKLYN,NY,11211,Brooklyn,301,34,3070058,3028660043,BK90,40.71782183,-73.94034776
A0209415,INS-000823816,01/29/2025,2025,BA-1576817-2023,"CERTIFIED HEATING OILS, INC",Victory Shell,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1212,VICTORY BLVD,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5016487,5006510001,SI07,40.61621431,-74.10395519
A0185819,INS-000778608,08/30/2024,2024,BA-1723320-2025,BROADWAY AUTO CENTER NY INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,3209,21ST ST,,,,ASTORIA,NY,11106,Queens,401,22,4006395,4005550016,QN70,40.76509818,-73.9317967
A0136545,INS-000677963,09/22/2023,2023,BA-1723320-2025,BROADWAY AUTO CENTER NY INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,3209,21ST ST,,,,ASTORIA,NY,11106,Queens,401,22,4006395,4005550016,QN70,40.76509818,-73.9317967
A0209963,INS-000826278,01/31/2025,2025,BA-1677877-2023,ACEMAK DELI & GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,1,Confiscated,Complete Address,363,E 180TH ST,,,,BRONX,NY,10457,Bronx,205,15,2013318,2031430132,BX41,40.85214772,-73.89897269
A0210802,INS-000827748,02/06/2025,2025,BA-1210036-2022,GALAXY STATION & MINIMART INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,8505,ASTORIA BLVD,,,,EAST ELMHURST,NY,11370,Queens,403,22,4024048,4010970001,QN28,40.76447247,-73.88388254
A0210411,INS-000827090,02/04/2025,2025,BA-1454728-2022,TREMONT GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,1,Confiscated,Complete Address,3305,E TREMONT AVE,,,,BRONX,NY,10461,Bronx,210,13,2073057,2053320001,BX52,40.83501521,-73.83096216
A0174849,INS-000755647,06/24/2024,2024,BA-1448241-2022,M T M FUEL SERVICES INC,"MTM FUEL SERVICES, INC.",Fuel Oil Dealer - 814,WAM - Petroleum,Fuel Oil,Fuel Oil Meter Test,Petrol Meter Type B,1,0,1,Confiscated,Complete Address,245,MESEROLE AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065442,3026040001,BK76,40.72923191,-73.94616813
A0212486,INS-000830786,02/19/2025,2025,BA-1612567-2023,AMSTERDAM AUTO CENTER INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,2161,AMSTERDAM AVENUE,,,,NEW YORK,NY,10032,Manhattan,112,10,1062663,1021110088,MN36,40.83909373,-73.93746709
A0209004,INS-000823083,01/27/2025,2025,BA-1531361-2022,UNION ISLAND CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,152,UNION AVE,,,,BROOKLYN,NY,11206,Brooklyn,301,33,3061223,3022340037,BK72,40.70468459,-73.95019861
A0212623,INS-000830979,02/20/2025,2025,BA-1555464-2022,ZAKI SERVICE STATION INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1532,BUSHWICK AVE,,,,BROOKLYN,NY,11207,Brooklyn,304,37,3080446,3034680028,BK78,40.68231142,-73.9055324
A0209482,INS-000823937,01/29/2025,2025,BA-1669734-2023,Noakhali Chatkil Corp.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1237,JEROME AVE,,,,BRONX,NY,10452,Bronx,204,16,2129188,2028550001,BX26,40.83663026,-73.9215901
A0210560,INS-000827337,02/05/2025,2025,BA-1215672-2022,G. P. NORTHERN BLVD. SERVICE CENTER INC.,TIGER MART,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,1193,MYRTLE AVE,,,,BROOKLYN,NY,11221,Brooklyn,304,34,3072430,3031820001,BK78,40.69724574,-73.93293718
A0211329,INS-000828757,02/11/2025,2025,BA-1001621-2022,"53RD ST. FOOD, LLC.",BLAKE & TODD,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,1,Confiscated,Complete Address,52,E 53RD ST,,,,NEW YORK,NY,10022,Manhattan,105,4,1083869,1012880027,MN17,40.75944469,-73.97355194
A0209696,INS-000825838,01/30/2025,2025,BA-1697300-2024,AMG RETAIL I LLC #97,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,211,TAPSCOTT ST,,,,BROOKLYN,NY,11212,Brooklyn,316,41,3081794,3035650030,BK81,40.6624966,-73.91961412
A0209845,INS-000826076,01/30/2025,2025,BA-1595314-2023,RDP PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,1,Confiscated,Complete Address,1724,WEBSTER AVE,,,,BRONX,NY,10457,Bronx,203,15,2009422,2028980016,BX01,40.84387595,-73.90307658
A0214600,INS-000834179,03/05/2025,2025,BA-1169521-2022,CONDUIT GAS & MART INC,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,586,CONDUIT BLVD,,,,BROOKLYN,NY,11208,Brooklyn,305,42,3094772,3042190001,BK82,40.676431,-73.86811895
A0215255,INS-000835423,03/10/2025,2025,BA-1370101-2022,JAG TRANSPORTING INC,25,Fuel Oil Dealer - 814,WAM - Petroleum,Fuel Oil,Fuel Oil Meter Test,Petrol Meter Type B,1,0,1,Confiscated,Complete Address,245,MESEROLE AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065442,3026040001,BK76,40.72923191,-73.94616813
A0214821,INS-000834574,03/06/2025,2025,BA-1105443-2022,APPROVED OIL CO OF BROOKLYN INC,,Fuel Oil Dealer - 814,WAM - Petroleum,Fuel Oil,Fuel Oil Meter Test,Petrol Meter Type B,1,0,1,Confiscated,Complete Address,6717,4TH AVE,,,,BROOKLYN,NY,11220,Brooklyn,310,47,3144499,3058510001,BK31,40.63651837,-74.02273146
A0216722,INS-000837982,03/18/2025,2025,BA-1108596-2022,BOLLA OPERATING CORP.,KINGS KNAPP MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,2624,CONEY ISLAND AVE,,,,BROOKLYN,NY,11223,Brooklyn,315,48,3385666,3071840085,BK25,40.59277289,-73.9607816
A0214372,INS-000833794,03/04/2025,2025,BA-1423192-2022,N & N SERVICE STATION INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,5912,FRESH POND RD,,,,MASPETH,NY,11378,Queens,405,30,4061214,4027400056,,40.71911617,-73.90242469
A0215098,INS-000835096,03/07/2025,2025,BA-1387832-2022,NACMIAS SERVICE CENTER LLC,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,619,CONEY ISLAND AVE,,,,BROOKLYN,NY,11218,Brooklyn,314,39,3118170,3051410053,BK42,40.64215713,-73.96961315
A0216989,INS-000838438,03/19/2025,2025,BA-1087639-2022,BOLLA OPERATING CORP.,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Blend,15,14,1,Confiscated,Complete Address,868,ARTHUR KILL RD,,,,STATEN ISLAND,NY,10312,Staten Island,503,51,5073740,5055330077,SI54,40.56099063,-74.16938819
A0214299,INS-000833678,03/04/2025,2025,BA-1115800-2022,60-90 ELIOT AVE INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,6090,ELIOT AVE,,,,MASPETH,NY,11378,Queens,405,30,4061363,4027470018,QN21,40.71402458,-73.90236721
A0217259,INS-000838893,03/20/2025,2025,BA-1129221-2022,BOLLA OPERATING CORP.,KINGS HENDRIX C-STORE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,2816,ATLANTIC AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,37,3380467,3039630008,BK82,40.67661617,-73.89024004
A0213709,INS-000832692,02/27/2025,2025,BA-1117869-2022,6M HOLDINGS INC,GULF,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,1,Confiscated,Complete Address,418,CONEY ISLAND AVE,,,,BROOKLYN,NY,11218,Brooklyn,312,40,3256668,3053310015,BK40,40.64778162,-73.97126826
A0215274,INS-000835455,03/10/2025,2025,BA-1424834-2022,MEEKER PETROLEUM INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,1,Confiscated,Complete Address,546,MORGAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,34,3069697,3028100001,BK90,40.72289346,-73.93904084
